basin,name,calwater22,minstor
2201210003,Point Reyes Peninsula,-9999,-9999
2201210004,Glenbrook Creek,-9999,-9999
2201220000,undefined basin within Point Reyes,-9999,-9999
2201300001,Pine Gulch Creek,-9999,-9999
2201300002,Audobon Canyon,-9999,-9999
2201300003,Fern Creek,-9999,-9999
2201300004,Rodeo Lagoon,-9999,-9999
2201300005,Alamere Creek,-9999,-9999
2202100000,undefined basin within San Francisco Coastal,-9999,-9999
2202210001,San Pedro Creek,-9999,-9999
2202210002,Denniston Creek,-9999,-9999
2202220001,Pilarcitos Creek,-9999,-9999
2202220002,Mills Creek,-9999,-9999
2202220003,Pilarcitos Lake,-9999,-9999
2202230001,Lobitos Creek,-9999,-9999
2202230002,Dry Creek,-9999,-9999
2202230003,Purisima Creek,-9999,-9999
2202300001,La Honda Creek,-9999,-9999
2202300002,Harrington Creek,-9999,-9999
2202300003,El Corte de Madera Creek,-9999,-9999
2202300004,Clear Creek,-9999,-9999
2202300005,Mindego Creek,-9999,-9999
2202400101,Slate Creek,-9999,-9999
2202400102,Peters Creek,-9999,-9999
2202400103,Teawater Creek,-9999,-9999
2202400104,Honsinger Creek,-9999,-9999
2202400105,Bradley Creek,-9999,-9999
2202400106,Waterman Creek,-9999,-9999
2202400200,undefined basin within Pompanio Creek,-9999,-9999
2202400301,Little Butano Creek,-9999,-9999
2202400302,Butano Creek,-9999,-9999
2203100000,undefined basin within Bay Waters,-9999,-9999
2203200101,Ross Creek,-9999,-9999
2203200102,San Rafael Creek,-9999,-9999
2203200103,San Anselmo Creek,-9999,-9999
2203200201,Belvedere Lagoon,-9999,-9999
2203200202,Old Mill Creek,-9999,-9999
2203300001,Point Richmond,-9999,-9999
2203300002,Claremont Creek,-9999,-9999
2203400000,undefined basin within San Francisco Bayside,-9999,-9999
2204100000,undefined basin within Bay Channel,-9999,-9999
2204200101,Kaiser Creek,-9999,-9999
2204200102,San Leandro Creek,-9999,-9999
2204200103,Moraga Valley,-9999,-9999
2204200201,Polomares Creek,-9999,-9999
2204200202,Crow Creek,-9999,-9999
2204200203,San Lorenzo Creek,-9999,-9999
2204200300,undefined basin within Lake Chabot,-9999,-9999
2204200400,undefined basin within Oakland,-9999,-9999
2204300101,Upper San Antonio Creek,-9999,-9999
2204300102,Lost Canyon,-9999,-9999
2204300103,Beauregard Creek,-9999,-9999
2204300104,Sweetwater Creek,-9999,-9999
2204300105,Arroyo Bayo,-9999,-9999
2204300106,Pino Creek,-9999,-9999
2204300107,Sycamore Creek,-9999,-9999
2204300108,Jumpoff Creek,-9999,-9999
2204300201,Coffee Mill Creek,-9999,-9999
2204300202,Trout Creek,-9999,-9999
2204300203,Lang Canyon,-9999,-9999
2204300204,Lake Del Valle,-9999,-9999
2204300205,Dry Creek,-9999,-9999
2204300206,Colorado Creek,-9999,-9999
2204300301,Tunnel Creek,-9999,-9999
2204300302,Lower Arroyo Mocho,-9999,-9999
2204300303,Upper Arroyo Mocho,-9999,-9999
2204300401,Middle Isabel Creek,-9999,-9999
2204300402,Lower Isabel Creek,-9999,-9999
2204300403,Upper Smith Creek,-9999,-9999
2204300404,Sulphur Creek,-9999,-9999
2204300405,Long Branch,-9999,-9999
2204300406,Upper Arroyo Hondo,-9999,-9999
2204300407,Lower Arroyo Hondo,-9999,-9999
2204300408,Calaveras Creek,-9999,-9999
2204300409,Calaveras Reservoir,-9999,-9999
2204300410,Upper Isabel Creek,-9999,-9999
2204300501,Baby Peak,-9999,-9999
2204300502,Whitlock Creek,-9999,-9999
2204300503,Leyden Creek,-9999,-9999
2204300504,San Antonio Reservoir,-9999,-9999
2204300505,La Costa Creek,-9999,-9999
2204300506,Indian Creek,-9999,-9999
2204300507,Sheridan Creek,-9999,-9999
2204300508,Valpe Creek,-9999,-9999
2204300601,Patterson Pass,-9999,-9999
2204300602,Altamont Creek,-9999,-9999
2204300603,Brushy Peak,-9999,-9999
2204300604,Arroyo Seco,-9999,-9999
2204300701,Lower Tassajara Creek,-9999,-9999
2204300702,Cayetano Creek,-9999,-9999
2204300703,Cottonwood Creek,-9999,-9999
2204300704,Alamo West Branch,-9999,-9999
2204300705,Daugherty Hills,-9999,-9999
2204300706,Coyote Creek,-9999,-9999
2204300707,Upper Tassajara Creek,-9999,-9999
2204300801,Gold Creek,-9999,-9999
2204300802,Sinbad Creek,-9999,-9999
2204300803,Stoneybrook Canyon,-9999,-9999
2204300804,Vallecitos Creek,-9999,-9999
2204300805,Vern,-9999,-9999
2204300806,Big Canyon,-9999,-9999
2204300900,undefined basin within Livermore,-9999,-9999
2204400101,Candlestick Point,-9999,-9999
2204400102,Bernal Heights,-9999,-9999
2204400201,Coyote Point,-9999,-9999
2204400202,Oyster Point,-9999,-9999
2204400301,Millbrae,-9999,-9999
2204400302,Lower Crystal Springs Reservoir,-9999,-9999
2204400303,Polhemus Creek,-9999,-9999
2204400304,Upper Crystal Springs Reservoir,-9999,-9999
2204400305,Bear Gulch Reservoir,-9999,-9999
2204400306,San Andreas Lake,-9999,-9999
2204400400,undefined basin within Steinberger Slough,-9999,-9999
2205100000,undefined basin within Dumbarton South,-9999,-9999
2205200001,Toroges Creek,-9999,-9999
2205200002,Mission Creek,-9999,-9999
2205200003,Newark Slough,-9999,-9999
2205300101,Soup Bowl Creek,-9999,-9999
2205300102,East Fork Coyote River,-9999,-9999
2205300103,Middle Fork Coyote Creek,-9999,-9999
2205300104,Kelly Cabin Canyon,-9999,-9999
2205300105,Long Canyon,-9999,-9999
2205300201,Middle Coyote Creek,-9999,-9999
2205300202,Rough Gulch,-9999,-9999
2205300203,Coon Hunters Gulch,-9999,-9999
2205300301,Dexter Canyon,-9999,-9999
2205300302,Larios Canyon,-9999,-9999
2205300303,Canada de los Osos,-9999,-9999
2205300401,San Felipe Creek,-9999,-9999
2205300402,Carlin Canyon,-9999,-9999
2205300403,Animas Creek,-9999,-9999
2205300404,Packwood Creek,-9999,-9999
2205300405,Halls Valley,-9999,-9999
2205300501,Lower Coyote Creek,-9999,-9999
2205300502,Anderson Lake,-9999,-9999
2205300601,Yerba Buena Creek,-9999,-9999
